smiles,occurrence,degree,type,bonds
*c1ccc2c(*)c[nH]c2c1,1569,2,Ring,--
*C1OC(*)C(*)(*)C1*,1563,5,Ring,-----
*CC(*)C,1562,2,Linker,--
*C1COC(=*)N1*,1561,3,Ring,-=-
*c1cc(*)n2nc(*)nc2n1,1545,3,Ring,---
*c1cc2ccccc2n1*,1545,2,Ring,--
*c1ccc2oc(*)cc2c1,1544,2,Ring,--
*c1cnc[nH]1,1540,1,Ring,-
*OCC(C)C,1537,1,Sub,-
*CCOC(*)=O,1536,2,Linker,--
*C1=C(*)N2C(=*)C(*)C2SC1,1535,4,Ring,--=-
*NCCCC,1535,1,Sub,-
*c1c[nH]c(*)c1,1534,2,Ring,--
*C1c2cc3c(cc2C(*)C2C(=*)OCC12)OCO3,1534,3,Ring,--=
*c1ccc2nnc(*)n2n1,1530,2,Ring,--
*C1CCCCO1,1526,1,Ring,-
*N1CCN(*)C(=*)C1,1520,3,Ring,--=
*c1ncnc2c1nc(*)n2*,1507,3,Ring,---
*c1sc2c(c1*)CCCC2,1505,2,Ring,--
*CC(*)*,1504,3,Linker,---
*c1nc2cc(*)c(*)cc2[nH]1,1502,3,Ring,---
*c1ccc2[nH]ncc2c1,1499,1,Ring,-
*C(=O)NCCC,1498,1,Sub,-
*CCS*,1476,2,Linker,--
*n1cnc2ccccc21,1460,1,Ring,-
*c1nnsc1*,1458,2,Ring,--
*c1ccc2c(*)cn(*)c2c1,1456,3,Ring,---
*C(=O)N(*)*,1454,3,Linker,---
*C1CCCc2ccccc21,1447,1,Ring,-
*C1=CN(*)C(=*)C(*)=C1,1435,4,Ring,--=-
*C1CC(*)C(*)C1*,1432,4,Ring,----
*CN(C)C(=O)N*,1427,2,Linker,--
*C1=NNC(=*)N1*,1426,3,Ring,-=-
*CCCOC,1419,1,Sub,-
*NCCN(C)C,1418,1,Sub,-
*C1=C(*)C(*)C(*)=C(*)N1,1412,5,Ring,-----
*c1nnc(*)c2ccccc12,1411,2,Ring,--
*C1CCC(=*)N1*,1410,3,Ring,-=-
*S(=O)(=O)C(C)C,1407,1,Sub,-
